# x,y,z,vel.x,vel.y,vel.z
2.4887905,-2.3169727,0.6014875,0.018521074,-0.01724244,0.119927816
2.800346,-3.8988435,0.075230874,0.0032148852,-0.0044759945,0.058429454
5.526113,2.097603,1.5789949,0.046438757,0.017627219,-0.002734978
-1.2945486,-6.6522627,-0.63140714,0.0034292797,0.017621951,-0.028988302
5.8180056,-0.2517176,-0.59761935,-0.03136446,0.0013569924,-0.012125698
4.9458437,-1.9484975,0.13169684,0.008434367,-0.0033228595,0.016331293
-2.3424163,2.7201293,0.9837134,-0.026291706,0.030531228,0.10690799
-2.856052,-3.2271955,-1.5781521,0.039989702,0.045186363,0.06566421
-6.2227054,-0.03893617,-0.28577626,0.012835297,8.031159e-05,-0.027548738
-3.757875,-4.9748898,-1.5610741,0.025589472,0.033876803,-0.0102259135
-4.885732,3.9518414,0.6222493,-0.019496586,0.015769888,-0.02560576
3.3646827,-2.802562,-1.6140065,-0.04690286,0.03906704,0.06192099
-5.384749,-2.2284806,-1.657132,0.04740152,0.019617144,0.0005818899
2.4487922,-4.948639,-1.9064059,-0.024360843,0.049229585,0.01220551
-0.60813624,-3.31384,0.19175415,-0.0015340955,-0.008359554,0.12644121
-0.90570265,3.9293058,-1.4324967,0.012552405,-0.054457415,0.080291376
0.6686849,5.6087165,1.7934817,0.006388621,0.053585727,0.0073903627
3.788919,-4.5473833,1.2870818,0.03073023,-0.03688179,-0.0069843703
4.9135146,3.8040285,1.5053144,0.033816803,0.026180865,-0.010739622
-4.5340266,1.3967781,1.6781197,-0.060209323,0.018548427,0.04467457
2.464818,6.409093,0.29984358,0.003033294,0.007887262,-0.031445473
3.1260297,-3.305411,1.864459,0.04149489,-0.043876,0.049608886
-2.5893588,1.8296576,-0.52548456,0.015941573,-0.011264418,0.12227789
-4.1710277,-4.1567774,0.027121313,-0.0010665056,-0.0010628618,-0.018005328
2.275918,4.5410666,1.5968503,0.028040597,0.055948503,0.029842226
-0.253872,-6.676588,-0.9133271,0.0009724067,0.025573384,-0.02532134
6.112422,-1.5068215,0.49432555,0.019823538,-0.004886857,-0.027217526
-3.1371946,-2.563591,1.6691647,-0.04359895,-0.035627343,0.07229926
-4.6483974,4.517778,-1.0775114,0.023262462,-0.022608783,-0.02157764
-3.2511017,-2.7327092,-0.5558024,0.02648651,0.022263197,0.094230644
